,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
514,62.013,7.111,27.7,1409,1523,1689,0.45,14,609,128.10446,57.717705
515,61.961,7.096,24.0,1417,1478,1563,0.118,156,334,69.5827,41.457714
516,61.963,7.093,15.3,1554,1588,1599,0.034,344,195,55.579166,29.049965
517,62.022,7.246,18.8,1400,1524,1612,0.171,53,645,110.72353,54.935047
518,62.003,7.251,11.1,1474,1548,1611,0.316,178,783,61.77555,35.500225
519,61.988,6.978,26.2,1235,1375,1481,0.231,48,497,115.21204,59.366543
520,62.014,7.259,18.9,1328,1539,1640,0.878,63,1055,106.58279,44.679024
521,62.006,7.099,19.8,1340,1556,1752,0.568,323,1306,51.331043,24.677876
522,61.995,7.122,33.5,1512,1589,1686,0.066,119,285,81.74019,43.205605
523,62.012,7.069,27.4,1471,1583,1679,0.084,28,449,122.53143,59.693398
524,62.022,6.883,28.4,1276,1350,1422,0.064,70,285,105.03956,61.81756
525,62.059,7.109,17.2,1403,1497,1545,0.193,62,481,105.94542,57.731544
526,61.946,7.175,24.1,1367,1497,1663,0.163,120,682,82.191444,39.176445
527,61.954,7.199,11.2,1514,1543,1564,0.054,163,250,66.49788,44.56199
528,62.01,7.082,29.7,1331,1409,1622,0.101,52,487,109.91713,54.16211
529,61.992,7.114,25.7,1490,1596,1732,0.211,145,496,72.11211,35.91772
530,62.015,7.165,10.5,1304,1364,1422,0.146,71,570,102.19197,60.506866
531,61.996,7.098,25.5,1324,1545,1696,0.229,280,866,53.663895,26.999422
532,62.013,7.247,10.1,1475,1568,1640,0.457,307,780,48.66197,25.424097
533,61.983,6.892,36.2,1215,1283,1348,0.028,34,202,123.75044,73.07228
534,61.942,7.378,20.0,1427,1582,1714,0.445,342,907,49.4466,23.60329
535,61.97,7.328,15.5,1405,1495,1599,0.388,8,803,130.8781,62.88563
536,61.98,6.989,22.9,1310,1427,1545,0.129,87,502,96.06798,50.454987
537,62.0,7.11,23.1,1047,1540,1825,1.727,70,1907,124.57217,33.4329
538,62.016,7.128,20.7,1410,1501,1584,0.172,47,411,112.6463,59.28196
539,62.019,7.255,16.7,1347,1519,1611,0.425,43,749,116.021034,53.848682
540,62.047,7.192,26.1,1412,1511,1619,0.141,49,436,112.08664,56.8646
541,61.96,7.193,24.1,1178,1503,1728,0.958,62,1509,115.11978,38.195995
542,62.0,7.283,22.9,1327,1468,1575,0.565,63,486,105.209366,52.249893
543,61.951,7.184,25.0,1381,1580,1700,0.357,130,716,80.21445,35.501423
544,61.954,7.178,38.3,1439,1536,1650,0.063,283,292,53.298283,26.366594
545,62.016,7.197,20.5,1392,1493,1590,0.233,89,459,93.46335,49.647503
546,61.969,7.188,11.4,1512,1550,1585,0.116,285,527,52.17192,28.196228
547,61.997,7.183,17.9,1298,1455,1665,0.852,52,892,108.803154,46.354473
548,61.974,7.196,22.2,1266,1470,1638,0.875,74,969,101.09762,42.21093
549,62.05,7.183,20.9,1235,1532,1676,0.599,42,1295,122.83523,45.318848
550,62.051,7.152,26.6,1297,1473,1620,0.414,359,665,52.27588,23.637695
551,62.041,7.182,13.3,1305,1416,1672,1.074,295,1442,46.930885,23.876049
552,62.187,8.03,23.5,1519,1613,1658,0.067,353,375,53.65681,25.70285
553,62.091,8.062,6.7,1761,1861,1940,1.407,143,1337,67.7681,29.52421
554,62.166,7.871,22.1,1646,1739,1812,0.134,100,407,87.45012,44.251625
555,62.191,7.853,21.6,1354,1427,1470,0.064,20,490,127.45002,69.39651
556,62.042,8.034,13.9,1641,1737,1788,0.233,68,603,100.371185,50.012356
557,62.182,7.994,12.9,1695,1766,1838,0.319,51,663,106.34746,51.79614
558,62.082,8.153,15.0,1731,1820,1863,0.113,43,540,111.4659,54.608093
559,62.097,8.056,6.2,1791,1879,1940,0.976,321,719,44.43462,24.267279
560,62.073,8.113,16.2,1930,1959,1980,0.03,44,177,107.68855,56.348465
561,62.145,7.792,17.7,1611,1677,1727,0.171,94,355,88.96374,48.498035
562,62.183,7.871,30.8,1700,1780,1861,0.08,337,250,49.641514,24.272316
563,62.073,8.154,7.0,1829,1870,1890,0.253,78,615,93.536316,48.67089
564,62.117,8.105,22.5,1522,1649,1780,0.363,65,495,102.27537,47.49928
565,62.134,7.806,21.0,1511,1565,1609,0.085,64,261,103.611305,58.29867
566,62.077,8.116,13.2,1807,1851,1913,0.163,15,428,121.62511,59.527645
567,62.106,8.041,13.9,1605,1811,1883,1.088,354,1450,49.557163,22.553766
568,62.031,8.087,17.5,1625,1686,1733,0.089,101,292,86.44116,47.916187
569,62.12,8.095,15.0,1711,1757,1843,0.15,40,578,111.402306,55.34299
570,62.045,8.091,12.9,1762,1826,1891,0.255,153,556,66.315125,34.905235
571,62.15,7.789,23.6,1627,1702,1742,0.102,51,246,108.886566,57.020077
572,62.053,8.073,24.0,1666,1781,1897,0.211,18,602,124.32538,54.627693
573,62.187,8.021,23.4,1500,1617,1736,0.262,10,747,130.14684,58.134335
574,62.105,7.989,15.1,1658,1718,1785,0.09,31,453,116.78836,59.24749
575,62.106,8.073,3.1,1840,1870,1880,0.39,342,516,46.649765,24.534105
576,62.172,7.87,22.7,1677,1810,1934,0.25,92,580,91.24264,40.708374
577,62.187,7.993,10.8,1638,1667,1708,0.071,19,302,121.64889,65.97789
578,62.046,8.028,10.5,1695,1734,1780,0.11,51,460,106.46794,56.579185
579,62.171,7.934,30.0,1633,1736,1822,0.264,99,391,88.14575,42.73057
