,CenLat,CenLon,Slope,Zmin,Zmax,Area,Aspect,Lmax,avg predicted thickness,predicted thickness std dev
328,47.0601,11.9722,40.0,3012,3131,0.013,302,152,36.979496,40.502815
329,47.0922,10.1387,21.3,2567,2646,0.022,75,202,74.993355,43.021038
330,47.0806,10.8875,19.6,2761,2917,0.123,27,432,87.31585,38.96266
331,47.0767,11.0864,25.9,2841,3050,0.063,325,404,40.288834,37.935493
332,47.0773,11.0658,24.8,2731,2836,0.019,356,225,46.97394,47.145466
333,47.0572,11.9839,31.4,2709,2792,0.014,60,125,76.5798,42.762722
334,47.0122,13.321,26.5,2873,3217,0.314,170,722,56.70307,44.31896
335,47.0886,10.1503,13.9,2358,2451,0.061,71,364,82.00035,42.162567
336,47.0762,11.0633,32.7,2734,2923,0.041,70,190,73.908035,42.206192
337,47.0521,11.9867,30.1,2496,3141,0.64,36,1111,104.11779,33.808838
338,47.0881,10.1385,26.7,2681,2833,0.048,16,269,91.79066,38.79018
339,47.0722,11.0592,19.7,2844,3067,0.214,318,567,40.832455,37.664116
340,47.0453,12.2647,28.6,2787,3113,0.139,99,632,71.09043,42.46831
341,47.0528,11.9743,25.8,2582,3064,0.225,256,1132,53.587784,37.378586
342,47.0679,11.1165,19.5,2663,3262,0.8,80,1660,93.25979,33.571205
343,47.086,10.1423,27.7,2638,2761,0.025,60,236,78.62661,42.216343
344,47.0392,12.2662,19.8,2632,3285,0.799,86,1902,96.56582,32.465477
345,47.0859,10.1356,28.5,2692,2762,0.014,305,125,42.803833,46.366894
346,47.0842,10.3046,30.0,2575,2674,0.014,78,146,73.33706,42.611446
347,47.058,11.6507,23.8,2695,3335,0.36,294,1218,56.560493,36.0112
348,47.0704,11.1169,43.3,3027,3140,0.011,63,125,70.43135,41.890823
349,47.0377,12.4707,20.8,2749,2843,0.019,100,226,64.46796,43.22288
350,47.0844,10.1455,25.6,2658,2741,0.016,58,146,78.5575,43.126316
351,47.0829,10.2418,15.3,2471,2509,0.021,84,158,74.3156,44.07626
352,47.0543,11.6737,20.6,2782,3111,0.389,141,775,61.718857,43.711205
353,47.0835,10.1379,35.5,2557,2724,0.037,140,285,57.12612,44.05668
354,47.0421,12.2689,24.6,2730,2918,0.078,65,466,77.469284,41.866924
355,47.08,10.3009,19.0,2719,2758,0.013,293,106,41.96334,47.073166
356,47.0488,11.9059,28.5,2626,2903,0.211,31,526,90.78018,37.74632
357,47.0473,11.9753,27.2,2835,3001,0.031,191,329,47.456207,45.832806
358,47.0397,12.2039,28.1,2511,2877,0.143,335,763,47.2424,32.717102
359,47.0601,11.1575,21.5,2694,3132,0.584,2,1270,107.2877,34.137142
360,47.047,11.9667,16.7,2522,2651,0.065,311,426,46.272232,44.632042
361,47.052,11.6497,28.2,2738,3328,0.404,276,1065,54.61064,37.324932
362,47.0527,11.6624,22.0,3244,3287,0.016,245,90,39.089634,46.409016
363,47.0595,11.1166,21.5,2829,3247,0.684,87,1267,80.17744,36.95854
364,47.0353,12.2558,21.8,2870,3050,0.052,257,562,42.430313,42.31741
365,47.0498,11.66,36.0,2967,3304,0.112,150,481,58.63137,44.749554
366,47.0347,12.2692,30.0,3040,3153,0.038,29,195,80.437195,39.68893
367,47.0473,11.8049,48.1,2669,2901,0.026,20,230,90.495995,37.979115
368,47.0466,11.8115,41.0,2701,2920,0.023,1,226,96.34735,37.034874
369,47.0395,11.9183,32.0,2432,3047,0.62,35,767,101.31519,34.432106
370,47.058,11.166,25.7,3062,3233,0.062,89,285,66.57628,43.623806
371,47.0587,11.1728,25.1,2857,2962,0.049,103,270,63.120132,43.622707
372,47.0334,12.1982,23.8,2548,3154,0.534,299,1358,55.81344,33.182293
373,47.0341,12.2115,34.8,2984,3205,0.071,67,304,73.344864,41.120716
374,47.0561,11.1056,30.5,2758,3255,0.245,324,765,49.009605,35.469105
375,47.0445,11.1271,15.8,2560,3283,3.179,17,3411,122.830696,29.126978
376,47.0461,11.6538,33.6,2926,3224,0.157,133,396,60.153378,44.658108
377,47.0377,11.9467,30.4,2558,2949,0.085,337,654,47.13696,33.277847
378,47.03,12.2096,31.2,2762,3307,0.422,83,689,81.55646,37.72285
379,47.0538,11.1495,25.8,2713,3352,0.341,333,1283,55.894794,33.715523
380,47.0397,11.9071,38.9,2815,2889,0.011,269,106,38.48873,42.63559
381,47.0341,11.9502,37.1,2716,2944,0.114,101,341,66.68982,43.01999
382,47.0389,11.8489,24.3,2744,2848,0.024,301,236,40.992184,42.601387
383,47.0289,12.1937,24.4,2757,3060,0.182,296,603,43.470158,37.468243
384,47.0351,11.9401,29.9,2731,2971,0.119,232,426,44.72395,42.27362
385,47.0226,12.2133,25.5,2726,3398,0.817,102,1184,84.41759,34.233204
