,CenLat,CenLon,Slope,Zmin,Zmed,Zmax,Area,Aspect,Lmax,Zdelta,avg predicted thickness,predicted thickness std dev,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
64,80.5963,-69.9371,9.9,505,1220,1675,51.575,10,13153,1170,104.00002,4.871044,112.21164,99.410675,107.85343,107.427605,103.79763,104.843315,100.096214,108.22044,107.20628,106.59008,93.15406,98.64736,108.98405,100.975845,97.736336,104.96539,99.46526,101.685234,110.06476,107.31264,101.69522,95.04162,109.92315,107.21875,105.4736
65,80.5813,-69.7639,13.0,887,1147,1261,1.356,75,1884,374,42.43052,2.3773556,41.45233,42.25817,41.51852,42.503597,42.428177,41.237526,43.518402,46.25244,42.330055,44.85218,39.39907,36.55128,44.613976,43.48923,40.060905,43.932674,42.57683,43.92748,45.45097,43.181587,42.524685,36.119354,44.95776,42.365627,43.26006
66,80.5983,-69.549,15.3,778,999,1155,0.67,15,1526,377,41.935234,2.318741,42.00874,42.0076,41.44973,43.238083,41.802925,40.363464,42.86586,44.84795,43.428734,43.84789,39.932556,35.94747,43.9072,42.187904,37.595715,40.944107,43.005722,43.33933,44.52409,43.432682,41.948902,36.633747,45.209164,41.6196,42.29172
67,81.1689,-68.3349,16.7,546,984,1320,2.866,318,3625,774,51.68462,2.0626757,52.01956,50.265762,53.349525,52.423103,53.742836,52.344517,53.053604,52.12996,52.263153,51.894352,48.78127,49.957207,50.265312,51.73832,48.64708,52.864964,52.751408,52.826054,54.31279,51.92128,48.90368,45.789967,55.861614,51.67748,52.330864
68,80.6703,-70.1148,7.0,192,1201,1802,78.887,137,24966,1610,167.21625,6.779684,177.44388,162.80682,177.42598,170.08943,163.903,166.25067,161.0776,173.4924,172.36594,162.1163,152.08627,164.12997,175.77075,165.8911,159.24661,168.34392,158.53339,164.11234,178.09198,169.83182,165.38863,157.5598,175.68018,170.98318,167.78398
69,80.6944,-69.876,9.9,714,1350,1555,15.602,21,6433,841,73.199646,3.7371879,76.90998,70.783844,75.58385,74.426445,74.21133,73.75689,71.484825,77.557236,75.19335,76.88254,65.90181,66.932785,76.96267,71.60336,68.904236,74.81468,70.83148,70.71621,77.99747,74.91048,72.29013,64.12021,78.43652,74.512184,74.26659
70,80.6922,-69.7245,10.1,744,1268,1387,3.495,165,3374,643,56.82666,2.912814,58.05379,54.43362,59.180447,58.528175,58.432995,58.0101,58.862984,59.146667,56.97755,58.678093,53.212463,51.773743,58.80595,56.314747,52.930016,59.39413,54.120262,55.059948,61.054096,57.74594,55.14666,48.448547,59.289886,57.874554,59.191196
71,80.6985,-69.6356,10.8,992,1295,1465,3.295,12,2365,473,52.967552,2.591338,52.493504,52.84865,52.711086,52.00707,53.01683,52.479904,52.56964,56.063763,53.384518,55.875404,48.923126,46.328617,56.442368,54.162823,51.013733,54.6242,53.38302,52.998886,55.811237,53.848083,53.03825,46.53013,56.974392,53.937378,52.722317
72,80.7063,-69.563,14.4,816,1186,1450,3.837,33,2756,634,47.68912,2.6246917,47.10652,47.175537,47.784096,48.951958,47.64828,46.57961,48.08946,51.832882,48.688656,50.95366,44.789314,42.00021,51.22108,47.657063,44.43408,48.667065,47.047253,47.853283,50.3,49.32209,47.142715,40.45185,51.20963,47.703968,47.617664
73,80.7228,-69.6966,7.3,685,1206,1424,18.086,66,10085,739,88.84177,4.1953783,95.25914,85.30507,92.41406,90.02127,91.193344,88.77707,86.92026,93.25398,90.62305,92.06726,78.882744,82.76336,91.63665,87.973335,84.720695,90.021805,86.613815,85.784294,94.32359,91.741356,87.432274,79.286896,92.00934,91.834145,90.1854
