,Lat,Lon,Area,Mean Slope,avg predicted thickness,predicted thickness std dev
433,-67.1003,58.6058,7.749,0.0,102.66962,31.654587
434,-67.1136,58.7971,5.027,0.0,101.57523,31.523075
435,-67.3015,59.3603,18.001,4.9,106.46366,33.07215
436,-64.8531,-63.5587,16.432,0.0,85.02259,22.847149
437,-64.9204,-63.9626,0.084,1.5,76.21165,18.82958
438,-67.4595,60.9452,0.086,2.3,99.6348,31.368229
439,-65.1293,-64.0948,4.39,14.1,74.12198,18.279799
440,-65.0998,-64.0697,0.942,0.1,77.18976,19.181269
441,-65.8675,-65.263,33.265,10.1,93.32712,26.252937
442,-66.1258,-65.7261,4.584,18.4,73.314064,18.273432
443,-68.9908,-68.4845,0.02,0.0,78.62853,19.567966
444,-68.5243,78.1584,0.024,0.5,104.428604,33.412525
445,-78.0433,167.445,0.046,3.1,128.96803,42.94103
446,-78.0429,167.417,0.47,20.8,123.30772,41.390717
447,-78.0503,167.409,0.106,19.4,123.64306,41.496876
448,-78.0569,167.431,0.99,9.2,127.206764,42.383812
449,-78.0664,167.493,0.355,11.0,126.425186,42.195812
450,-78.0745,167.443,0.032,4.0,128.66689,42.862118
451,-78.0778,167.472,0.162,12.1,126.01834,42.101166
452,-78.0799,167.442,0.163,3.9,128.74911,42.878696
453,-78.0841,167.465,0.202,10.2,126.640175,42.272232
454,-78.0701,167.37,3.971,18.6,125.16836,41.679
455,-78.1166,166.214,0.337,7.9,127.18874,42.41027
456,-78.1189,166.08,0.11,6.8,127.44996,42.50766
457,-78.12,166.04,0.523,1.7,129.35573,42.99728
458,-78.1328,166.288,0.476,15.0,124.96153,41.769577
459,-78.1469,166.36,0.112,14.3,125.09939,41.8406
460,-78.1502,166.435,0.428,6.3,127.82405,42.601562
461,-78.1584,166.519,0.746,6.8,127.78463,42.579655
462,-78.1638,166.535,0.154,11.6,126.0224,42.091995
463,-78.1439,166.113,0.434,7.1,127.48042,42.49869
464,-78.1696,166.514,0.305,12.5,125.77989,42.010708
465,-78.1805,166.543,0.147,8.9,126.91297,42.351074
466,-78.1823,166.574,0.241,9.8,126.651306,42.26463
467,-78.196,166.723,0.315,7.1,127.61048,42.55781
468,-78.1869,166.395,0.387,11.2,126.20442,42.11976
469,-78.1933,166.523,0.944,2.7,129.30078,42.978584
470,-78.2056,166.607,0.306,7.4,127.48878,42.51751
471,-78.2011,166.465,0.198,3.2,128.86777,42.892647
472,-78.2009,166.416,0.437,4.5,128.48087,42.77598
473,-78.2002,166.331,0.08,15.7,124.67191,41.73688
474,-78.217,166.634,0.097,7.5,127.4015,42.509155
475,-78.1966,166.222,0.271,4.8,128.27419,42.72252
476,-78.2134,166.594,0.368,4.3,128.57555,42.809826
477,-78.2101,166.521,0.576,4.5,128.5567,42.79372
478,-78.211,166.413,0.159,3.2,128.8497,42.88874
479,-78.2073,166.297,0.091,19.5,123.46161,41.438835
480,-78.2127,166.376,0.281,5.2,128.1819,42.70279
481,-78.2268,166.611,0.204,16.1,124.66168,41.73229
482,-78.2323,166.687,0.099,5.7,128.0285,42.680107
483,-78.2236,166.512,0.222,2.3,129.217,42.98991
484,-78.2223,166.544,0.759,5.7,128.21016,42.696045
485,-78.2207,166.467,1.008,1.5,129.74835,43.100285
486,-78.2333,166.621,0.097,15.6,124.79499,41.776253
