,RGIId,Farinotti Mean Thickness
630,RGI60-16.00631,
631,RGI60-16.00632,
632,RGI60-16.00633,
633,RGI60-16.00634,
634,RGI60-16.00635,
635,RGI60-16.00636,
636,RGI60-16.00637,
637,RGI60-16.00638,
638,RGI60-16.00639,
639,RGI60-16.00640,
640,RGI60-16.00641,
641,RGI60-16.00642,
642,RGI60-16.00643,
643,RGI60-16.00644,
644,RGI60-16.00645,
645,RGI60-16.00646,
646,RGI60-16.00647,
647,RGI60-16.00648,
648,RGI60-16.00649,
649,RGI60-16.00650,
650,RGI60-16.00651,
651,RGI60-16.00652,
652,RGI60-16.00653,
653,RGI60-16.00654,
654,RGI60-16.00655,
655,RGI60-16.00656,
656,RGI60-16.00657,
657,RGI60-16.00658,
658,RGI60-16.00659,
659,RGI60-16.00660,
660,RGI60-16.00661,
661,RGI60-16.00662,
662,RGI60-16.00663,
663,RGI60-16.00664,
664,RGI60-16.00665,
665,RGI60-16.00666,
666,RGI60-16.00667,
667,RGI60-16.00668,
668,RGI60-16.00669,
669,RGI60-16.00670,
670,RGI60-16.00671,
671,RGI60-16.00672,
672,RGI60-16.00673,
673,RGI60-16.00674,
674,RGI60-16.00675,
675,RGI60-16.00676,
676,RGI60-16.00677,
677,RGI60-16.00678,
678,RGI60-16.00679,
679,RGI60-16.00680,
680,RGI60-16.00681,
681,RGI60-16.00682,
682,RGI60-16.00683,
683,RGI60-16.00684,
684,RGI60-16.00685,
685,RGI60-16.00686,
686,RGI60-16.00687,
687,RGI60-16.00688,
688,RGI60-16.00689,
689,RGI60-16.00690,
690,RGI60-16.00691,
691,RGI60-16.00692,
692,RGI60-16.00693,
693,RGI60-16.00694,
694,RGI60-16.00695,
695,RGI60-16.00696,
696,RGI60-16.00697,
697,RGI60-16.00698,
698,RGI60-16.00699,
699,RGI60-16.00700,
700,RGI60-16.00701,
701,RGI60-16.00702,
702,RGI60-16.00703,
703,RGI60-16.00704,
704,RGI60-16.00705,
705,RGI60-16.00706,
706,RGI60-16.00707,
707,RGI60-16.00708,
708,RGI60-16.00709,
709,RGI60-16.00710,
710,RGI60-16.00711,
711,RGI60-16.00712,
712,RGI60-16.00713,
713,RGI60-16.00714,
714,RGI60-16.00715,
715,RGI60-16.00716,
716,RGI60-16.00717,
717,RGI60-16.00718,
718,RGI60-16.00719,
719,RGI60-16.00720,
720,RGI60-16.00721,
721,RGI60-16.00722,
722,RGI60-16.00723,
723,RGI60-16.00724,
724,RGI60-16.00725,
725,RGI60-16.00726,
726,RGI60-16.00727,
727,RGI60-16.00728,
728,RGI60-16.00729,
729,RGI60-16.00730,
730,RGI60-16.00731,
731,RGI60-16.00732,
732,RGI60-16.00733,
733,RGI60-16.00734,
734,RGI60-16.00735,
735,RGI60-16.00736,
736,RGI60-16.00737,
737,RGI60-16.00738,
738,RGI60-16.00739,
739,RGI60-16.00740,
740,RGI60-16.00741,
741,RGI60-16.00742,
742,RGI60-16.00743,
743,RGI60-16.00744,
744,RGI60-16.00745,
745,RGI60-16.00746,
746,RGI60-16.00747,
747,RGI60-16.00748,
748,RGI60-16.00749,
749,RGI60-16.00750,
750,RGI60-16.00751,
751,RGI60-16.00752,
752,RGI60-16.00753,
753,RGI60-16.00754,
754,RGI60-16.00755,
755,RGI60-16.00756,
756,RGI60-16.00757,
757,RGI60-16.00758,
758,RGI60-16.00759,
759,RGI60-16.00760,
760,RGI60-16.00761,
761,RGI60-16.00762,
762,RGI60-16.00763,
763,RGI60-16.00764,
764,RGI60-16.00765,
765,RGI60-16.00766,
766,RGI60-16.00767,
767,RGI60-16.00768,
768,RGI60-16.00769,
769,RGI60-16.00770,
770,RGI60-16.00771,
771,RGI60-16.00772,
772,RGI60-16.00773,
773,RGI60-16.00774,
774,RGI60-16.00775,
775,RGI60-16.00776,
776,RGI60-16.00777,
777,RGI60-16.00778,
778,RGI60-16.00779,
779,RGI60-16.00780,
780,RGI60-16.00781,
781,RGI60-16.00782,
782,RGI60-16.00783,
783,RGI60-16.00784,
784,RGI60-16.00785,
785,RGI60-16.00786,
786,RGI60-16.00787,
787,RGI60-16.00788,
788,RGI60-16.00789,
789,RGI60-16.00790,
790,RGI60-16.00791,
791,RGI60-16.00792,
792,RGI60-16.00793,
793,RGI60-16.00794,
794,RGI60-16.00795,
795,RGI60-16.00796,
796,RGI60-16.00797,
797,RGI60-16.00798,
798,RGI60-16.00799,
799,RGI60-16.00800,
800,RGI60-16.00801,
801,RGI60-16.00802,
802,RGI60-16.00803,
803,RGI60-16.00804,
804,RGI60-16.00805,
805,RGI60-16.00806,
806,RGI60-16.00807,
807,RGI60-16.00808,
808,RGI60-16.00809,
809,RGI60-16.00810,
810,RGI60-16.00811,
811,RGI60-16.00812,
812,RGI60-16.00813,
813,RGI60-16.00814,
814,RGI60-16.00815,
815,RGI60-16.00816,
816,RGI60-16.00817,
817,RGI60-16.00818,
818,RGI60-16.00819,
819,RGI60-16.00820,
820,RGI60-16.00821,
821,RGI60-16.00822,
822,RGI60-16.00823,
823,RGI60-16.00824,
824,RGI60-16.00825,
825,RGI60-16.00826,
826,RGI60-16.00827,
827,RGI60-16.00828,
828,RGI60-16.00829,
829,RGI60-16.00830,
830,RGI60-16.00831,
831,RGI60-16.00832,
832,RGI60-16.00833,
833,RGI60-16.00834,
834,RGI60-16.00835,
835,RGI60-16.00836,
836,RGI60-16.00837,
837,RGI60-16.00838,
838,RGI60-16.00839,
839,RGI60-16.00840,
840,RGI60-16.00841,
841,RGI60-16.00842,
842,RGI60-16.00843,
843,RGI60-16.00844,
844,RGI60-16.00845,
845,RGI60-16.00846,
846,RGI60-16.00847,
847,RGI60-16.00848,
848,RGI60-16.00849,
849,RGI60-16.00850,
850,RGI60-16.00851,
851,RGI60-16.00852,
852,RGI60-16.00853,
853,RGI60-16.00854,
854,RGI60-16.00855,
855,RGI60-16.00856,
856,RGI60-16.00857,
857,RGI60-16.00858,
858,RGI60-16.00859,
859,RGI60-16.00860,
860,RGI60-16.00861,
861,RGI60-16.00862,
862,RGI60-16.00863,
863,RGI60-16.00864,
864,RGI60-16.00865,
865,RGI60-16.00866,
866,RGI60-16.00867,
867,RGI60-16.00868,
868,RGI60-16.00869,
869,RGI60-16.00870,
870,RGI60-16.00871,
871,RGI60-16.00872,
872,RGI60-16.00873,
873,RGI60-16.00874,
874,RGI60-16.00875,
875,RGI60-16.00876,
876,RGI60-16.00877,
877,RGI60-16.00878,
878,RGI60-16.00879,
879,RGI60-16.00880,
880,RGI60-16.00881,
881,RGI60-16.00882,
882,RGI60-16.00883,
883,RGI60-16.00884,
884,RGI60-16.00885,
885,RGI60-16.00886,
886,RGI60-16.00887,
887,RGI60-16.00888,
888,RGI60-16.00889,
889,RGI60-16.00890,
890,RGI60-16.00891,
891,RGI60-16.00892,
892,RGI60-16.00893,
893,RGI60-16.00894,
894,RGI60-16.00895,
895,RGI60-16.00896,
896,RGI60-16.00897,
897,RGI60-16.00898,
898,RGI60-16.00899,
899,RGI60-16.00900,
900,RGI60-16.00901,
901,RGI60-16.00902,
902,RGI60-16.00903,
903,RGI60-16.00904,
904,RGI60-16.00905,
905,RGI60-16.00906,
906,RGI60-16.00907,
907,RGI60-16.00908,
908,RGI60-16.00909,
909,RGI60-16.00910,
910,RGI60-16.00911,
911,RGI60-16.00912,
912,RGI60-16.00913,
913,RGI60-16.00914,
914,RGI60-16.00915,
915,RGI60-16.00916,
916,RGI60-16.00917,
917,RGI60-16.00918,
918,RGI60-16.00919,
919,RGI60-16.00920,
920,RGI60-16.00921,
921,RGI60-16.00922,
922,RGI60-16.00923,
923,RGI60-16.00924,
924,RGI60-16.00925,
925,RGI60-16.00926,
926,RGI60-16.00927,
927,RGI60-16.00928,
928,RGI60-16.00929,
929,RGI60-16.00930,
930,RGI60-16.00931,
931,RGI60-16.00932,
932,RGI60-16.00933,
933,RGI60-16.00934,
934,RGI60-16.00935,
935,RGI60-16.00936,
936,RGI60-16.00937,
937,RGI60-16.00938,
938,RGI60-16.00939,
939,RGI60-16.00940,
940,RGI60-16.00941,
941,RGI60-16.00942,
942,RGI60-16.00943,
943,RGI60-16.00944,
944,RGI60-16.00945,
945,RGI60-16.00946,
946,RGI60-16.00947,
947,RGI60-16.00948,
948,RGI60-16.00949,
949,RGI60-16.00950,
950,RGI60-16.00951,
951,RGI60-16.00952,
952,RGI60-16.00953,
953,RGI60-16.00954,
954,RGI60-16.00955,
955,RGI60-16.00956,
956,RGI60-16.00957,
957,RGI60-16.00958,
958,RGI60-16.00959,
959,RGI60-16.00960,
960,RGI60-16.00961,
961,RGI60-16.00962,
962,RGI60-16.00963,
963,RGI60-16.00964,
964,RGI60-16.00965,
965,RGI60-16.00966,
966,RGI60-16.00967,
967,RGI60-16.00968,
968,RGI60-16.00969,
969,RGI60-16.00970,
970,RGI60-16.00971,
971,RGI60-16.00972,
972,RGI60-16.00973,
973,RGI60-16.00974,
974,RGI60-16.00975,
975,RGI60-16.00976,
976,RGI60-16.00977,
977,RGI60-16.00978,
978,RGI60-16.00979,
979,RGI60-16.00980,
980,RGI60-16.00981,
981,RGI60-16.00982,
982,RGI60-16.00983,
983,RGI60-16.00984,
984,RGI60-16.00985,
985,RGI60-16.00986,
986,RGI60-16.00987,
987,RGI60-16.00988,
988,RGI60-16.00989,
989,RGI60-16.00990,
990,RGI60-16.00991,
991,RGI60-16.00992,
992,RGI60-16.00993,
993,RGI60-16.00994,
994,RGI60-16.00995,
995,RGI60-16.00996,
996,RGI60-16.00997,
997,RGI60-16.00998,
998,RGI60-16.00999,
999,RGI60-16.01000,
1000,RGI60-16.01001,
1001,RGI60-16.01002,
1002,RGI60-16.01003,
1003,RGI60-16.01004,
1004,RGI60-16.01005,
1005,RGI60-16.01006,
1006,RGI60-16.01007,
1007,RGI60-16.01008,
1008,RGI60-16.01009,
1009,RGI60-16.01010,
1010,RGI60-16.01011,
1011,RGI60-16.01012,
1012,RGI60-16.01013,
1013,RGI60-16.01014,
1014,RGI60-16.01015,
1015,RGI60-16.01016,
1016,RGI60-16.01017,
1017,RGI60-16.01018,
1018,RGI60-16.01019,
1019,RGI60-16.01020,
1020,RGI60-16.01021,
1021,RGI60-16.01022,
1022,RGI60-16.01023,
1023,RGI60-16.01024,
1024,RGI60-16.01025,
1025,RGI60-16.01026,
1026,RGI60-16.01027,
1027,RGI60-16.01028,
1028,RGI60-16.01029,
1029,RGI60-16.01030,
1030,RGI60-16.01031,
1031,RGI60-16.01032,
1032,RGI60-16.01033,
1033,RGI60-16.01034,
1034,RGI60-16.01035,
1035,RGI60-16.01036,
1036,RGI60-16.01037,
1037,RGI60-16.01038,
1038,RGI60-16.01039,
1039,RGI60-16.01040,
1040,RGI60-16.01041,
1041,RGI60-16.01042,
1042,RGI60-16.01043,
1043,RGI60-16.01044,
1044,RGI60-16.01045,
1045,RGI60-16.01046,
1046,RGI60-16.01047,
1047,RGI60-16.01048,
1048,RGI60-16.01049,
1049,RGI60-16.01050,
1050,RGI60-16.01051,
1051,RGI60-16.01052,
1052,RGI60-16.01053,
1053,RGI60-16.01054,
1054,RGI60-16.01055,
1055,RGI60-16.01056,
1056,RGI60-16.01057,
1057,RGI60-16.01058,
1058,RGI60-16.01059,
1059,RGI60-16.01060,
1060,RGI60-16.01061,
1061,RGI60-16.01062,
1062,RGI60-16.01063,
1063,RGI60-16.01064,
1064,RGI60-16.01065,
