,Farinotti Mean Thickness,Shapiro-Wilk statistic,Shapiro-Wilk p_value,Farinotti Median Thickness,Farinotti Thickness STD,Skew,RGIId,GLIMSId,BgnDate,EndDate,CenLon,CenLat,O1Region,O2Region,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,Status,Connect,Form,TermType,Surging,Linkages,Name,region
50230,27.987526,0.9860780239105225,0.000616987410467118,29.62368,2.673574,0.34925008396423657,RGI60-08.02659,G005616E61750N,20060916.0,-9999999.0,5.616,61.75,8.0,2.0,0.254,1154.0,1349.0,1293.0,13.4,311.0,644.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50231,16.07203,0.9213035106658936,1.651511229283642e-05,17.800823,0.802989,-0.6688806181416929,RGI60-08.02660,G005571E61739N,20060916.0,-9999999.0,5.571,61.739,8.0,2.0,0.061,1249.0,1338.0,1308.0,20.6,311.0,224.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50232,64.20147,0.9474526643753052,7.576639697580982e-29,60.721634,13.433985,0.7496951653292705,RGI60-08.02661,G005862E61804N,20060916.0,-9999999.0,5.862,61.804,8.0,2.0,1.542,1086.0,1440.0,1335.0,10.2,355.0,2118.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50233,60.712994,0.9133252501487732,2.993009038980359e-32,58.687977,13.755051,0.6440444950009596,RGI60-08.02662,G005595E61743N,20060916.0,-9999999.0,5.595,61.743,8.0,2.0,1.243,1085.0,1351.0,1302.0,12.6,4.0,1046.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50234,19.46859,0.9778181314468384,0.009466463699936867,20.803196,1.258315,0.023895612903049698,RGI60-08.02663,G005527E61779N,20060916.0,-9999999.0,5.527,61.779,8.0,2.0,0.103,989.0,1106.0,1053.0,18.8,25.0,320.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50235,27.058641,0.9693202376365662,1.3228529383013665e-07,30.132107,1.5976342,-0.3747498654578757,RGI60-08.02664,G005757E61788N,20060916.0,-9999999.0,5.757,61.788,8.0,2.0,0.254,1148.0,1264.0,1191.0,12.8,76.0,762.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50236,12.66308,0.9125866293907166,0.0021101252641528845,13.889365,0.37312743,-0.7914490872063982,RGI60-08.02665,G005326E61729N,20060916.0,-9999999.0,5.326,61.729,8.0,2.0,0.029,752.0,786.0,772.0,14.8,26.0,135.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50237,76.53163,0.9954474568367004,2.9666777389726617e-13,83.11372,6.7817554,0.015697624382559026,RGI60-08.02666,G005644E61747N,20060916.0,-9999999.0,5.644,61.747,8.0,2.0,3.972,918.0,1379.0,1229.0,9.9,29.0,2713.0,0.0,0.0,0.0,0.0,9.0,1.0,Aalfotbreen,08
50238,15.202604,0.9692721366882324,0.0007744407630525529,15.411745,0.9943111,-0.07502562157581998,RGI60-08.02667,G005823E61759N,20060916.0,-9999999.0,5.823,61.759,8.0,2.0,0.104,979.0,1164.0,1087.0,23.7,349.0,432.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
50239,87.158356,0.9412720799446106,2.25480556273581e-25,79.9086,10.406502,0.6023422138259704,RGI60-08.02668,G005838E61795N,20060916.0,-9999999.0,5.838,61.795,8.0,2.0,1.046,979.0,1561.0,1392.0,12.8,27.0,1526.0,0.0,0.0,0.0,0.0,9.0,0.0,,08
