,CenLon,CenLat,Area,thickness,Slope,Zmin,Zmed,Zmax,Aspect,Lmax
264,-69.8537,-33.526,0.041,35.0,32.5,5062,5132,5201,169,206
265,-70.0442,-33.6902,2.017,29.0,26.8,3875,4643,5133,235,2208
266,-70.0778,-33.7529,2.142,22.0,28.7,2523,3335,4136,158,3549
267,8.132,61.573,5.21,90.0,13.7,1436,1774,2071,49,3122
268,8.441,61.556,2.799,70.0,12.3,1530,1904,2256,25,3284
269,8.454,61.542,8.563,128.0,7.5,1639,1880,2254,107,5017
270,8.6,61.657,2.166,60.0,11.5,1866,2083,2378,44,2472
271,21.737,70.13,3.455,67.0,11.0,447,894,1061,121,3637
272,42.7699,43.1981,0.124,31.0,37.4,3139,3357,3591,300,608
273,41.4156,43.3638,3.354,97.0,18.1,2491,2864,3514,336,3928
274,18.2064,78.1851,39.995,85.0,10.2,131,482,694,232,12142
275,17.6978,78.1071,39.032,74.0,9.5,110,445,773,87,13945
276,-116.33,51.177,0.872,70.0,15.3,2390,2526,2853,69,1181
277,88.324,43.834,2.643,28.0,18.7,3646,3945,4318,328,2882
278,86.801,43.117,0.547,49.0,20.9,3847,4087,4443,56,1620
279,78.181348805,41.826979308,2.925,51.0,14.8,3864,4264,4725,307,4165
280,-53.2246,67.0943,3.375,50.0,19.7,596,1008,1411,347,4116
281,99.881,38.214,0.495,16.0,25.6,4328,4545,4765,3,1051
282,84.4,43.725,0.022,15.0,15.7,3760,3776,3800,59,146
283,88.356,43.784,6.078,58.0,24.7,3415,4233,5201,172,7215
284,79.894,41.78,6.595,29.0,30.0,3802,4598,5698,194,5814
285,97.755,39.237,2.531,41.0,19.2,4317,4797,5113,2,3007
286,-51.3598,64.162,1.699,22.0,21.4,493,824,1024,11,908
287,5.644,61.747,3.972,57.0,9.9,918,1229,1379,29,2713
288,5.672,61.746,2.908,85.0,8.8,963,1214,1345,5,3327
289,5.661,61.733,3.494,68.0,4.5,1058,1314,1354,143,2702
290,14.1244,77.9072,2.556,81.0,11.3,181,354,624,345,3775
291,14.601,77.9152,2.698,34.0,10.6,206,378,569,319,3301
292,16.0611,78.2445,2.164,32.0,12.8,340,589,851,301,3445
293,14.1004,77.8756,8.972,91.0,8.9,211,394,714,118,6038
294,14.6871,77.9111,2.798,26.0,9.1,289,402,550,86,2593
295,14.9686,77.9266,6.924,29.0,10.6,252,456,689,254,4736
296,15.0305,77.9989,5.136,33.0,10.5,271,454,893,44,3538
297,14.9569,78.0137,2.326,37.0,12.0,332,482,894,338,2940
298,14.9648,77.9531,2.884,24.0,15.4,290,498,803,4,3367
299,77.080587306,43.043653004,2.838,47.0,19.1,3427,3764,4185,359,3131
300,14.0176,77.8978,6.922,31.0,11.9,191,368,709,18,4735
301,14.1412,77.9445,5.943,11.0,11.9,234,338,663,69,2642
302,14.0691,77.9714,6.737,65.0,10.1,195,336,521,56,3780
303,37.3507,-3.05715,0.616,23.0,9.9,5663,5771,5794,355,905
304,15.4854,77.0272,0.418,27.0,18.8,323,422,587,144,1084
305,12.1614,78.871,5.016,76.0,13.8,123,388,684,350,4111
