,GlaThiDa_index,thickness,CenLon,CenLat,Area,Zmin,Zmed,Zmax,Slope,Aspect,Lmax
270,534,59.0,7.21308,46.327,0.347,2703.0,2815.0,2864.0,13.4,340.0,664.0
271,535,68.0,8.60104,46.5988,0.211,2590.0,2709.0,2856.0,18.2,5.0,751.0
272,536,100.0,7.30808,46.0841,0.68,2794.0,2894.0,3205.0,14.5,330.0,1556.0
273,537,103.0,7.22536,46.3202,2.89,2497.0,2772.0,2971.0,9.3,84.0,2673.0
274,539,72.0,-69.6091,-28.3814,5.209,5068.0,5406.0,5753.0,11.6,79.0,3782.0
275,540,307.0,-69.7318,-28.5387,3.14,4784.0,5234.0,5597.0,16.0,190.0,3349.0
276,541,394.0,-69.9276,-30.1454,1.189,4664.0,5187.0,5525.0,29.3,148.0,1596.0
277,542,186.0,-70.0984,-33.0296,8.376,2929.0,5121.0,5894.0,29.0,358.0,8560.0
278,544,298.0,-69.822,-33.4036,7.233,4255.0,5492.0,5885.0,10.0,298.0,8109.0
279,545,17.0,-69.9116,-33.744,12.58,3523.0,5071.0,6078.0,21.1,276.0,8556.0
280,546,76.0,-70.308,-34.7806,2.541,3394.0,3922.0,4657.0,24.2,169.0,3522.0
281,547,67.0,-70.2865,-34.7923,3.151,3221.0,3828.0,4396.0,19.6,190.0,4399.0
282,548,43.0,-70.3286,-34.8129,5.727,3303.0,4063.0,4424.0,17.3,145.0,3646.0
283,550,43.0,-71.4328,-37.9292,2.245,1808.0,2532.0,3094.0,25.8,133.0,3020.0
284,552,82.0,-71.5317,-38.983,5.273,1833.0,2098.0,2265.0,5.9,232.0,3177.0
285,553,28.0,-71.9122,-39.4267,13.098,1584.0,2000.0,2835.0,11.1,83.0,5447.0
286,555,46.0,-72.4987,-41.111,2.555,1589.0,2067.0,2653.0,32.6,189.0,1713.0
287,556,40.0,-71.9213,-41.1592,6.195,1264.0,2269.0,3249.0,21.1,294.0,5393.0
288,557,68.0,-70.2056,-33.2223,5.374,3469.0,4970.0,5364.0,21.1,88.0,4739.0
289,558,18.0,-70.2689,-33.1875,0.585,3879.0,4371.0,4859.0,29.7,177.0,1747.0
290,559,11.0,-70.2819,-33.1827,0.164,4142.0,4297.0,4446.0,31.1,123.0,712.0
291,560,19.0,-70.2183,-33.2464,1.643,4296.0,4835.0,5358.0,29.5,210.0,2296.0
292,561,12.0,-69.9087,-33.5277,0.179,4400.0,4502.0,4729.0,22.9,5.0,902.0
293,563,18.0,-69.8645,-33.5242,1.784,4591.0,4984.0,5304.0,17.0,255.0,2660.0
294,564,15.0,-70.0442,-33.6902,2.017,3875.0,4643.0,5133.0,26.8,235.0,2208.0
295,565,9.0,-70.0778,-33.7529,2.142,2523.0,3335.0,4136.0,28.7,158.0,3549.0
296,569,15.0,8.441,61.556,2.799,1530.0,1904.0,2256.0,12.3,25.0,3284.0
297,570,51.0,8.454,61.542,8.563,1639.0,1880.0,2254.0,7.5,107.0,5017.0
298,571,41.0,8.6,61.657,2.166,1866.0,2083.0,2378.0,11.5,44.0,2472.0
299,572,42.0,21.737,70.13,3.455,447.0,894.0,1061.0,11.0,121.0,3637.0
300,581,73.0,42.7612,43.1944,1.762,2714.0,3219.0,3753.0,21.9,322.0,3043.0
301,583,27.0,41.4156,43.3638,3.354,2491.0,2864.0,3514.0,18.1,336.0,3928.0
302,584,42.0,18.2064,78.1851,39.995,131.0,482.0,694.0,10.2,232.0,12142.0
303,585,37.0,17.6978,78.1071,39.032,110.0,445.0,773.0,9.5,87.0,13945.0
304,592,34.0,86.81,43.111,1.034,3773.0,3985.0,4256.0,20.2,10.0,1946.0
305,593,39.0,-116.33,51.177,0.872,2390.0,2526.0,2853.0,15.3,69.0,1181.0
306,595,34.0,88.324,43.834,2.643,3646.0,3945.0,4318.0,18.7,328.0,2882.0
307,598,11.0,86.801,43.117,0.547,3847.0,4087.0,4443.0,20.9,56.0,1620.0
308,601,59.0,-53.2246,67.0943,3.375,596.0,1008.0,1411.0,19.7,347.0,4116.0
309,604,55.0,99.881,38.214,0.495,4328.0,4545.0,4765.0,25.6,3.0,1051.0
310,605,67.0,84.391,43.731,1.099,3495.0,3627.0,3901.0,17.2,28.0,1492.0
311,606,53.0,88.356,43.784,6.078,3415.0,4233.0,5201.0,24.7,172.0,7215.0
312,607,36.0,79.894,41.78,6.595,3802.0,4598.0,5698.0,30.0,194.0,5814.0
